0,1,2,3,4,5,6,7
107,101,112,125,128,140,132,131
104.02,109.33,114.01,105.81,99.21,133.11,132.9,158.07
120,102,129,150,162,156,129,156
69.6,75.46,114,126,132,135,123,114
113.95,102.43,141.92,101.72,114.97,117.44,97.29,138.07
